mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.016918738683064777,0.006786197261287286,0.003975311915079753,0.0003567565440696925,0.6,0.01,5,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.6}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.010939200719197592,0.001212961550048366,0.0035469532012939453,3.494655786222977e-05,0.6,0.01,5,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.8}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.015455802281697592,0.0025413335166309444,0.003504196802775065,0.00012618573429952414,0.6,0.01,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.013277530670166016,0.0006440247932870132,0.003953615824381511,0.0008260477774816496,0.6,0.01,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.01216435432434082,0.002416829422894838,0.0033974647521972656,0.0001139931728095735,0.6,0.01,7,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.6}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.010540644327799479,0.0007440098530973567,0.0033687750498453775,4.523688440708474e-05,0.6,0.01,7,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.8}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.020705779393513996,0.008264034772256195,0.005249977111816406,0.0017900541014425671,0.6,0.01,7,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.013754685719807943,0.0009273271214587336,0.003439744313557943,8.22237283118439e-05,0.6,0.01,7,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.03974397977193197,0.038695498106603846,0.0037675698598225913,0.0003740230715665111,0.6,0.1,5,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.6}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.013056357701619467,0.0014463630607002408,0.0035161972045898438,0.00013763217134090918,0.6,0.1,5,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.8}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.01757192611694336,0.0016645341040183706,0.0037136077880859375,0.0003315168976825742,0.6,0.1,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.017758607864379883,0.0012440840006235079,0.0035341580708821616,6.760903357193697e-05,0.6,0.1,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.014592965443929037,0.0014437739165161884,0.003456274668375651,6.596840981118611e-05,0.6,0.1,7,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.6}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.012756109237670898,0.0003688486193152225,0.0035293102264404297,0.00023205930783420052,0.6,0.1,7,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.8}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.019542614618937176,0.0021089602824563205,0.0035431385040283203,5.126868033932935e-05,0.6,0.1,7,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
0.020405054092407227,0.0016162163645598224,0.003895998001098633,0.000257791900904024,0.6,0.1,7,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.9899193548387096,0.9899193548387096,0.9899125756556826,0.9899170951110339,3.19573752622133e-06,1
