mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.31107385953267414,0.06606920028186726,0.009993632634480795,0.002905962184297645,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.26685380935668945,0.018063142406853114,0.008438587188720703,0.000581999367150637,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.41663360595703125,0.0047888631678712264,0.011295795440673828,0.00032150713714661325,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.41521890958150226,0.015224103862504848,0.011733611424763998,0.0012598841647380168,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.6609626611073812,0.022699827253856063,0.015045801798502604,0.0003678248985818988,0.8,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.680567741394043,0.03416380343933674,0.015269041061401367,0.0017633502045270163,0.8,0.01,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.26970744132995605,0.011794551367794505,0.0099485715230306,0.0005610660181491731,0.8,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.27820460001627606,0.040106366406619194,0.010184367497762045,0.0008493818696193617,0.8,0.01,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.5242110093434652,0.04692554375043973,0.014776786168416342,0.0007285160573737981,0.8,0.01,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.6234567960103353,0.1504977111764221,0.014614423116048178,0.0005366542301373793,0.8,0.01,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.8712448279062907,0.08607636257027844,0.025252739588419598,0.00603678765803773,0.8,0.01,5,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.8487808704376221,0.01478418922541049,0.021248340606689453,0.000472774844577905,0.8,0.01,5,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.3324155807495117,0.023173149698992864,0.01618806521097819,0.0056313617941503484,0.8,0.01,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.32042773564656574,0.0059371337208884096,0.020302295684814453,0.012008070194056853,0.8,0.01,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.6464169025421143,0.006601907882761378,0.019242525100708008,0.0005080546081841784,0.8,0.01,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
0.7289788722991943,0.11463152154024632,0.020075241724650066,0.0007700671676523387,0.8,0.01,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
1.2925091584523518,0.2017498898008523,0.0341794490814209,0.0076595772637623365,0.8,0.01,7,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",1.0,0.9998533724340176,0.9995601173020527,0.9998044965786902,0.0001828767051209376,1
