mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.07544541358947754,0.05286003452504686,0.0044291019439697266,0.00022364552323596605,0.6,0.01,5,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.6}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.03992621103922526,0.0010194566252347593,0.004159847895304362,7.605972032668152e-05,0.6,0.01,5,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.8}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.0666804313659668,0.007324250671011685,0.005305290222167969,0.0008300355789030829,0.6,0.01,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.07047009468078613,0.01403223059677,0.004650433858235677,0.00013604384090450166,0.6,0.01,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.04553898175557455,0.00032666096799599645,0.004535198211669922,9.403630951539575e-05,0.6,0.01,7,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.6}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.04509552319844564,0.002963982802466208,0.004369338353474935,4.526284611952199e-05,0.6,0.01,7,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.8}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.1674344539642334,0.07681851888154984,0.005545218785603841,0.0007413973032728962,0.6,0.01,7,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.07179148991902669,0.003823560463232348,0.0070658524831136065,0.002985648068321136,0.6,0.01,7,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.066741943359375,0.03776216227323278,0.004290421803792317,0.00027138949468152824,0.6,0.1,5,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.6}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.040486812591552734,0.0018151810588341066,0.004166762034098308,0.00019389175852848264,0.6,0.1,5,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.8}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.05861306190490723,0.000626468306390504,0.004505554835001628,0.00014466597261248899,0.6,0.1,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.061475276947021484,0.002944331346070979,0.0045312245686848955,6.0236862801830324e-05,0.6,0.1,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.05977129936218262,0.014747210486269804,0.0045290788014729815,0.0002048559373235003,0.6,0.1,7,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.6}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.0443426767985026,0.0024107926638356667,0.004362583160400391,8.749149762960885e-05,0.6,0.1,7,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.8}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.08270796140034993,0.01889693567771449,0.004896720250447591,0.00012974766432112436,0.6,0.1,7,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
0.06534735361735027,0.0023606710362505086,0.004765431086222331,0.00022437517743596796,0.6,0.1,7,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.9987912973408541,1.0,0.9991938734381298,0.9993283902596612,0.0005025346495601198,3
