positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,1599,0,0,728,2327,1.0,1.0,1.0,1.0
1,1896,1,0,430,2327,0.9995702621400946,1.0,0.9976798143851509,0.9988385598141696
2,1981,0,0,346,2327,1.0,1.0,1.0,1.0
3,2320,0,0,7,2327,1.0,1.0,1.0,1.0
4,1905,0,0,422,2327,1.0,1.0,1.0,1.0
5,2126,0,0,201,2327,1.0,1.0,1.0,1.0
6,2134,0,1,192,2327,0.9995702621400946,0.9948186528497409,1.0,0.9974025974025974
